feature,mean_abs_shap
V14,0.07955194296511467
V12,0.07622286891791442
V4,0.0592721248224323
V3,0.05324574446054998
V10,0.04690568734827047
V11,0.039442607225461994
V17,0.02785541512373758
V16,0.018720356730759644
V7,0.010720962449446371
V1,0.010217772256501978
V8,0.00775888080844444
V18,0.007179627525884337
V2,0.006326907758100339
Day,0.006150792384681349
V5,0.006055167238430649
V9,0.006020270966342058
HourSin,0.005656520282391698
V21,0.00543523789089652
LogAmount,0.0051484087219888985
V24,0.004538219203926137
V27,0.004415132479978215
HourCos,0.004226029251723367
V19,0.0042078131772152316
V13,0.0038025475162339274
V20,0.0037655657242856642
V26,0.003467285486515698
V22,0.003446416310998661
V15,0.003086256715043527
V6,0.0029599994107113153
V25,0.002903258651459414
V23,0.0023026106517518934
V28,0.0020021768294651043
IsZeroAmount,1.5063148619391253e-05
